,X,Y,OBJECTID,COD_SIG,IDTIPO,MORADA,DESIGNACAO,TIPOLOGIA,SE_ANNO_CAD_DATA,GlobalID,_lat_,_lng_,_type_,_name_
121,-9.15516623582671,38.7286309574163,122,5009,4,Parque Eduardo VII de Inglaterra,Bebedouro 1 no Parque Eduardo VII de Inglaterra,Bebedouro,,3a1ae5de-f56e-4cee-aebc-539db6b1cb8f,38.7286309574163,-9.15516623582671,BEBEDOURO,Bebedouro 1 no Parque Eduardo VII de Inglaterra - Parque Eduardo VII de Inglaterra
122,-9.15420228333971,38.7279817058948,123,5010,4,Parque Eduardo VII de Inglaterra,Bebedouro junto ao Parque Infantil do Parque Eduardo VII de Inglaterra,Bebedouro,,7bdfe55d-0211-4e2b-8ad2-6ef4bcf6cec7,38.7279817058948,-9.15420228333971,BEBEDOURO,Bebedouro junto ao Parque Infantil do Parque Eduardo VII de Inglaterra - Parque Eduardo VII de Inglaterra
123,-9.1514236154012,38.7260652585744,124,5012,4,Parque Eduardo VII de Inglaterra,Bebedouro 2 no Parque Eduardo VII de Inglaterra,Bebedouro,,5955b4f9-ef8e-4f68-83b7-e161c72a4e81,38.7260652585744,-9.1514236154012,BEBEDOURO,Bebedouro 2 no Parque Eduardo VII de Inglaterra - Parque Eduardo VII de Inglaterra
124,-9.15045725902253,38.7265761831586,125,5013,4,Parque Eduardo VII de Inglaterra,Bebedouro 3 no Parque Eduardo VII de Inglaterra,Bebedouro,,1d333522-ad72-454e-b88f-3fda5dcc7aa5,38.7265761831586,-9.15045725902253,BEBEDOURO,Bebedouro 3 no Parque Eduardo VII de Inglaterra - Parque Eduardo VII de Inglaterra
125,-9.145151850277,38.7489701420366,126,919,4,Avenida dos Estados Unidos da América,Bebedouro na Av. Estados Unidos da América,Bebedouro,,d24ce2b1-0c8e-43ff-b799-385a95e7295c,38.7489701420366,-9.145151850277,BEBEDOURO,Bebedouro na Av. Estados Unidos da América - Avenida dos Estados Unidos da América
126,-9.15125385627037,38.7274805654629,127,5014,4,Parque Eduardo VII de Inglaterra,Bebedouro 4 no Parque Eduardo VII de Inglaterra,Bebedouro,,c6feee32-903c-4559-8003-f524a4e43f13,38.7274805654629,-9.15125385627037,BEBEDOURO,Bebedouro 4 no Parque Eduardo VII de Inglaterra - Parque Eduardo VII de Inglaterra
127,-9.15402965139663,38.7310843054219,128,5018,4,Alameda Cardeal Cerejeira,Bebedouro 1 no Jardim Amália Rodrigues,Bebedouro,,395a3922-ce36-4924-89fa-8a66c538044e,38.7310843054219,-9.15402965139663,BEBEDOURO,Bebedouro 1 no Jardim Amália Rodrigues - Alameda Cardeal Cerejeira
128,-9.15494539848883,38.7313799433043,129,5017,4,Rua Marquês de Fronteira,Bebedouro 2 no Jardim Amália Rodrigues,Bebedouro,,7b9bcf13-5f31-43f3-ab7a-0885ec69aaee,38.7313799433043,-9.15494539848883,BEBEDOURO,Bebedouro 2 no Jardim Amália Rodrigues - Rua Marquês de Fronteira
129,-9.18684958592889,38.7200353017462,130,235,4,Parque Florestal de Monsanto,Bebedouro 3 no Parque do Alvito,Bebedouro,,beb39175-ec22-4203-b84e-736690c3ebb5,38.7200353017462,-9.18684958592889,BEBEDOURO,Bebedouro 3 no Parque do Alvito - Parque Florestal de Monsanto
130,-9.20950001023492,38.7121632199441,131,120,4,Largo Ocidental,Bebedouro no Parque Infantil do Largo Ocidental,Bebedouro,,2c10a880-434f-4425-8942-9731d2445927,38.7121632199441,-9.20950001023492,BEBEDOURO,Bebedouro no Parque Infantil do Largo Ocidental - Largo Ocidental
131,-9.1858967887211,38.7020777461087,132,227,4,Rua Filipe Vaz,Fontanário 2 da Rua Filipe Vaz,,,00065c06-731f-4e17-984b-9dcc1ef64f9c,0.0,0.0,,
132,-9.10902476622962,38.7511180492212,133,2124,4,Rua Prof. Lopo de Carvalho(antiga Rua I-20 da Malha I de Chelas),Bebedouro 1 no Parque do Vale Fundão,Bebedouro,,4219b7a8-f0ab-4335-bbf4-450b78666a05,38.7511180492212,-9.10902476622962,BEBEDOURO,Bebedouro 1 no Parque do Vale Fundão - Rua Prof. Lopo de Carvalho(antiga Rua I-20 da Malha I de Chelas)
133,-9.16612557090187,38.7719595148193,134,18124,4,Rua 14 do Cemitério do Lumiar,Fontanário 24 no Cemitério do Lumiar,Fontanário,,5206d704-8226-48cf-9720-aa228d9f65a7,0.0,0.0,,
134,-9.16643467759788,38.7719289333052,135,18125,4,Rua 13 do Cemitério do Lumiar,Fontanário 25 no Cemitério do Lumiar,Fontanário,,99f22468-c181-4aa4-a4f3-bb5be8748867,0.0,0.0,,
135,-9.16724242204011,38.7719819811755,136,18127,4,Rua 16 do Cemitério do Lumiar,Fontanário 27 no Cemitério do Lumiar,Fontanário,,ae06be1f-523d-4f5e-8f0f-72ed156114ca,0.0,0.0,,
136,-9.16770493852874,38.7721153917409,137,18128,4,Rua 18 do Cemitério do Lumiar,Fontanário 28 no Cemitério do Lumiar,Fontanário,,bacf349b-a423-4663-8325-f721bd2ce400,0.0,0.0,,
137,-9.16751211964459,38.7716523375701,138,18129,4,Rua 14 do Cemitério do Lumiar,Fontanário 29 no Cemitério do Lumiar,Fontanário,,01b83811-07d0-4086-8463-8404c328de4c,0.0,0.0,,
138,-9.16796572664224,38.7715407903149,139,18130,4,Rua 14 do Cemitério do Lumiar,Fontanário 30 no Cemitério do Lumiar,Fontanário,,95d50f56-c103-4e44-8b4c-21db10a55c51,0.0,0.0,,
139,-9.16831877353207,38.7715943882644,140,18131,4,Rua 12 do Cemitério do Lumiar,Fontanário 31 no Cemitério do Lumiar,Fontanário,,e33a6d88-7899-47c4-8069-d5a59f9de380,0.0,0.0,,
140,-9.16843422321574,38.7718462479412,141,18132,4,Rua 16A do Cemitério do Lumiar,Fontanário 32 no Cemitério do Lumiar,Fontanário,,3a53aeb5-5d09-45f0-b4b4-604ad163c229,0.0,0.0,,
141,-9.16816574013354,38.7720047759963,142,18133,4,Rua 14A do Cemitério do Lumiar,Fontanário 33 no Cemitério do Lumiar,Fontanário,,0fa48fce-5fa0-4d6a-b08b-42a4f0b35e8e,0.0,0.0,,
142,-9.16856562069069,38.7721022192735,143,18134,4,Rua 18A do Cemitério do Lumiar,Fontanário 34 no Cemitério do Lumiar,Fontanário,,20c36e92-53a2-4b91-b778-15eae8a76cba,0.0,0.0,,
143,-9.16864435712701,38.7725801980092,144,18136,4,Rua 25 do Cemitério do Lumiar,Fontanário 36 no Cemitério do Lumiar,Fontanário,,870f2ace-725b-4214-b5a7-c9e167cdadc1,0.0,0.0,,
